id,class,abstract
23,1,DUMATING na sa bansa ang 1 085 760 doses ng Pfizer BioNTech COVID 19 vaccine na binili ng gobyerno ngayong gabi Disyembre 6 Sa kabuuan mahigit 151 milyong doses na ng bakuna kontra COVID 19 ang dumating sa bansa COVID19PH  mula cnnphilippines
24,1,Naniguro ang DepEd na ligtas at may sinusunod na criteria ang pag implement ng face to face classes sa ilang paaralan sa NCR COVID19PH InformInformInform
25,0,"Nasa 98.78% o 177,646 na ang gumaling mula sa #COVID19PH sa Quezon City. Ayon sa QC Epidemiology and Disease Surveillance Unit (CESU), 568 ang kumpirmadong active cases mula sa 179,831 na kabuuang bilang ng nagpositibo sa lungsod. https://t.co/ojO5QggxQV"
26,0,Nakapagtala ng 543 na karagdagang kaso ng COVID 19 ang DOHgovph ngayong araw Samantala ay mayroon namang naitalang 830 na bagong gumaling at 113 na pumanaw
27,1,COVID19PH Mahigit 100 thousand o halos 95 percent na persons deprived of liberty PDL o iyong mga nasa bilangguan ang nabakunahan na laban sa Covid 19 ayon sa Bureau of Jail Management and Penology BJMP
28,1,COVID19PH Sinusuri pa ng Food and Drug Administration FDA ang mga dokumento para sa emergency use authorization ng experimental anti viral pill na Molnupiravir ayon sa Department of Health DOH
29,1,COVID19PH Hindi na tatanggapin ng pamahalaan ang mga donasyon ng COVID 19 vaccine na malapit nang mapanis o ma expire
30,0,"COVID19PH Naitala ng Department of Health DOH ang 543 na panibagong COVID 19 cases ngayong Lunes December 6 2021
Dahil dyan ay umakyat na sa 2 835 154 ang kabuuang kaso sa bansa"
31,0,COVID19PH Nakatala ang Department of Health ng karagdagang 543 mga bagong kaso ng COVID 19 sa bansa ngayong Lunes Disyembre 6 Pumapalo na sa kabuuang bilang na 2 835 154 ang naitatalang kaso sa Pilipinas CoronavirusPH
32,1,COVID19PH Isinailalim sa minimal risk classification ang Pilipinas dahil sa patuloy na bumubuti ang sitwasyon ng coronavirus disease COVID-19 sa bansa batay sa ulat ng Department of Health ngayong Lunes Dec 6
33,1,LUMAPAG na sa NAIA Terminal 1 ang eroplanong lulan ang 1 497 200 doses ng Moderna COVID 19 vaccine na binili ng gobyerno ngayong hapon Disyembre 6 Sa kabuuan mahigit 150 milyong doses na ng bakuna kontra COVID 19 ang dumating sa bansa COVID19PH  mula PTVph
34,1,Inilinaw ito ni Education Undersecretary Nepomuceno Malaluan Lunes kasabay ng pagbabalik sa face to face classes ng 28 paaralan sa Metro Manila ngayong araw
35,1,"So far, in the last two weeks ang report natin ay walang actual COVID positive na naitala  ani Malaluan sa Laging Handa briefing kanina sa state media"
36,1,Bumaba nang bahagya ang reproduction number ng COVID-19 o antas ng hawahan sa National Capital Region ayon sa OCTA Research Group ngayong Lunes December 6
37,1,Vergeire Nananawagan kami uli sa atin pong mga kumakandidato sana po wag ho tayong mag-hold ng mga gatherings o mga events na alam natin that will cause overcrowding  And this might cause COVID 19 infections in the coming days or weeks
38,1,Wala pang naitatalang sintomas ng Covid 19 ang halos lahat ng mga biyaherong pumasok sa Pilipinas galing sa mga bansang may naitalang kaso ng Omicron variant ayon sa Bureau of Quarantine nitong Linggo December 5
39,1,Pinaigting ng National Task Force NTF Against COVID 19 ang paghahanda sa posibleng banta ng Omicron variant sa Pilipinas
40,1,PAMPANGA GOES ZERO DEC 5
41,0,Nakatala ang Department of Health ng karagdagang 603 mga bagong kaso ng COVID 19 sa bansa ngayong Linggo Disyembre 5 Pumapalo na sa kabuuang bilang na 2 834 775 ang naitatalang kaso sa Pilipinas
42,0,UMABOT lamang sa 603 ang naitalang bagong kumpirmadong kaso ng COVID 19 sa bansa ngayong araw Disyembre 5  Ito na ang ikalabing-dalawang araw na mas mababa sa 1 000 ang karagdagang kumpirmadong kaso ng sakit
43,0,Huwag mag-panic at matakot sa banta ng Omicron Variant bagkus ay patuloy na sumunod sa minimum health protocols
44,1,S Gene Dropout Kit pwedeng gamitin na pan detect sa Omicron variant
45,1,OFW Help sa facebook tutulungan ang mga Pilipinong nais mapasama sa repatriation program ng DFA sa mga bansang may travel ban
46,1,Handa ang Philippine Genome Center sa banta ng Omicron ngayong dinagdagan ng DBM ang kanilang pondo
47,1,Maliban sa pagpapabakuna siguraduhin po natin na tayo ay sumusunod sa health and safety protocols para makaiwas sa sakit Ibayong pag-iingat ngayong National Vaccination Day
48,0,So kaming tao may kasalanan o kayong nagbababa ng utos na sinusunod namin
49,1,IATF releases new protocols amid Omicron threat QUEZON CITY Hindi pinapayagang makapasok ng Pilipinas ang mga pasaherong galing sa red list sa loob ng nakaraang 14 na araw anuman ang kanilang vaccination status
50,0,"COVID19PH Tumuntong na sa 2,834,294 ang kumpirmadong kaso ng mga nagkasakit sa bansa matapos makapagtala ng 517 na panibagong kaso ng COVID 19 ngayong araw ang Department of Health"
51,0,Nakapagtala ng 517 na karagdagang kaso ng COVID-19 ang DOHgovph ngayong araw Samantala ay mayroon namang naitalang 1 139 na bagong gumaling at 243 na pumanaw
52,1,Bagong metrics para sa alert level inaprubahan QUEZON CITY Itong latest development na ito ay nangangahulugan na sa ngayon ay wala ng province o city ang nasa ilalim ng Alert Level 3 Ang buong bansa ay nasa Alert Level 2 na
53,0,"UMABOT lamang sa 517 ang naitalang bagong kumpirmadong kaso ng COVID 19 sa bansa ngayong araw Disyembre 4 Ito na ang ikalabing isang araw na mas mababa sa 1,000 ang karagdagang kumpirmadong kaso ng sakit"
54,0,Nasa 98 80 o 177 711 na ang gumaling mula sa COVID19PH sa Quezon City Ayon sa QC Epidemiology and Disease Surveillance Unit 546 ang kumpirmadong active cases mula sa 179 875 na kabuuang bilang ng nagpositibo sa lungsod
55,0,Nagbabala ang DILG sa election candidates na kaliwat kanan ang pagsasagawa ng political rallies ngayong may pandemya
56,1,Sa oras na tuluyang magbukas ang ekonomiya ng Pilipinas mababawi rin agad ang ginastos ng bansa sa pandemya
57,0,As of December 3 2021 narito ang bilang ng confirmed cases ng COVID 19 dito sa Pilipinas
58,1,Kung sakaling makapasok ang bagong COVID 19 variant sa Pilipinas handang tumugon ang One Hospital Command Center sa mga nangangailangan
59,0,COVID19PH UPDATE Nakapagtala ng 544 na karagdagang kaso ng COVID 19 ang DOH ngayong araw Samantala ay mayroon namang naitalang 734 na bagong gumaling at 235 na pumanaw
60,0,UMABOT lamang sa 544 ang naitalang bagong kumpirmadong kaso ng COVID 19 sa bansa ngayong araw Disyembre 3 Ito na ang ikasampung araw na mas mababa sa 1 000 ang karagdagang kumpirmadong kaso ng sakit
61,1,Pinakabagong Kaalaman tungkol sa Covid-19 sa Pilipinas
62,1,Dagdag pa ni Dr de Guzman na dapat manatiling mapagmatiyag ang lahat ng indibidwal laban sa banta ng Omicron variant
63,1,Nakakabangon na ang maliliit na negosyo ngayong Alert Level 2 sa Metro Manila
64,0,Umabot na sa 2 833 878 ang kumpirmadong kaso ng mga nagkasakit sa bansa matapos makapagtala ng 544 ang Department of Health ng panibagong kaso ng COVID 19 ngayong araw
65,0,Nakapagtala ng 544 na karagdagang kaso ng COVID 19 ang DOH ngayong araw Samantala ay mayroon namang naitalang 734 na bagong gumaling at 235 na pumanaw
66,1,Narito ang updated alert levels sa iba t ibang lugar sa bansa hanggang Disyembre 15 2021 batay sa IATF Resolution No 152  Isasailalim naman sa Alert Level 2 ang Apayao simula Disyembre 3 hanggang Disyembre 15
67,0,Ilang ulat kasi ang kumakalat ngayon na may ilang vaccination sites na nagbibigay ng booster shots kahit na tatlong buwan pa lang ang nakalilipas mula nang makakuha ng kumpletong primary vaccine series laban sa COVID-19 anuman ang brand
68,0,"Ito po ay dapat itigil dahil hindi po natin alam, maaaring magkaroon ng ibang reaksyon sa katawan ng ating mga kababayan na ibinibigay natin outside of the instructions or the guidelines given through the EUA of the FDA ani Vergeire Biyernes"
69,0,Sino ba ang mawawalan ng kita kung pagbabawalan nila ang mga unvaxxed They ll take their business elsewhere Inyo na mall nyo
70,0,"As of December 3, 2021, narito ang bilang ng confirmed cases ng COVID-19 dito sa Pilipinas"
71,0,Nakapagtala ng 544 na karagdagang kaso ng COVID-19 ang DOH ngayong araw Samantala ay mayroon namang naitalang 734 na bagong gumaling at 235 na pumanaw
72,1,"Malaki ang paniniwala ni Mayor Emerito Calderon Jr. na kapag nagkaisa ang mga taga- Samboan, Cebu ay makababangon ang kanilang ekonomiya"
73,0,"Kung available naman ang bakuna, bakit ayaw ninyong magpabakuna"
74,1,"Isinagawa ang naturang pagluluwag sa Apayao matapos baguhin ng pandemic task force ang mga pamantayan sa pagtatakda ng alert level classifications ng mga probinsya, urbanized cities at independent component cities"
75,1,"Ito ang ibinahagi ni acting presidential spokesperson Karlo Nograles, Biyernes, ngayong dine-escalate na ng gobyerno ang probinsya ng Apayao mula Alert Level 3"
76,0,Marami kasi sa ngayon ang nagiging kampante na lalo na't bumababa ang COVID infections at pinapayagan na ang booster shots sa pagpasok ng Kapaskuhan.
77,0,"Vergeire: Kung maaari rin daw sana, 'wag maghain ng buffet sa mga Christmas party sa ngayong taon para maiwasan ang kumpulan ng mga tao sa tuwing kukuha ng pagkain, bagay na pwede raw pagkahawaan ng marami ng COVID-19"
78,1,"Kung kailangan talaga at gusto nating ipatupad o magkaroon ng ganitong in-person celebrations I advise our employers to require that only fully-vaccinated will attend the parties  wika ni Health Undersecretary Maria Rosario Vergeire, Biyernes"
79,0,Marami kasi sa ngayon ang nagiging kampante na lalo na't bumababa ang COVID infections at pinapayagan na ang booster shots sa pagpasok ng Kapaskuhan
80,1,Very low risk na sa COVID-19 ang National Capital Region NCR ayon sa OCTA Research Biyernes
81,0,Muling hinigpitan ng Inter Agency Task Force IATF ang quarantine protocols para sa mga darating na international passengers sa lahat ng ports of entry ng Pilipinas na magmumula sa Red List country territory jurisdiction
82,0,Malaki din po kasi ang gastos sa face shields  other PO of DOH
83,1,Deployment cap sa healthcare workers na nais mag-trabaho sa abroad hiling na mapalaki pa ng POEA
84,0,"Problemado ang OFWs sa Austria, dahil kabilang ang bansa ngayon sa Red list country ng Pilipinas"
85,1,"Tuluy-tuloy ang naging operasyon ng mga pantalan sa Escalante, Negros Occidental kahit may pandemya dahil malaki ang naitutulong nito para sa ekonomiya"
86,1,"Mga Filipino sa Austria, patuloy na mino-monitor ng Philippine Embassy ngayong nag-reimpose ng hard lockdown sa bansa"
87,1,Nanawagan si Secretary Francisco Duque III sa mga Pilipino na ipakita ang kanilang bayanihan at makiisa sa isinasagawang pagbabakuna para maabot na ang target na makapagbakuna ng 90-milyong Pilipino sa 2022
88,1,"Patuloy ang dating ng Pfizer vaccines na makakatulong sa malawakang vaccination drive ng gobyerno Kagabi, Dec. 1, 2021, dumating ang higit isang milyong Pfizer vaccine doses sa bansa"
89,1,"Ano ang mga kailangan nating malaman tungkol sa bagong variant na Omicron Unang naiulat ang bagong variant of concern sa World Health Organization mula South Africa noong Nobyembre 24, 2021"
90,1,Nakatanggap ang Pilipinas ng karagdagang doses ng AstraZeneca vaccines mula sa iba't ibang mga bansa ngayong linggo
91,1,"Kasunod ng mas pinaigting na malawakang pagbabakuna sa buong bansa, narito ang mga nagawa ng gobyerno para matugunan ang COVID-19 virus at variants nito"
92,1,SISIMULAN na ang pagturok ng booster shots para sa lahat ng fully vaccinated adults bukas Disyembre 3
93,1,Nanawagan si Secretary Francisco Duque III sa mga Pilipino na ipakita ang kanilang bayanihan at makiisa sa isinasagawang pagbabakuna para maabot na ang target na makapagbakuna ng 90 milyong Pilipino sa 2022
94,1,Deployment cap sa healthcare workers na nais mag-trabaho sa abroad hiling na mapalaki pa ng POEA
95,1,Malapit nang mapunta sa GREEN zone
96,1,"LUMAPAG na sa NAIA Terminal 3 ang eroplanong lulan ang 1,082,250 doses ng Pfizer BioNTech COVID-19 vaccine na binili ng gobyerno, ngayong gabi, Disyembre 2. Sa kabuuan, mahigit 148 milyong doses na ng bakuna kontra COVID-19 ang dumating sa bansa"
97,0,"Problemado ang OFWs sa Austria, dahil kabilang ang bansa ngayon sa Red list country ng Pilipinas"
98,1,"Tuluy-tuloy ang naging operasyon ng mga pantalan sa Escalante, Negros Occidental kahit may pandemya dahil malaki ang naitutulong nito para sa ekonomiya"
99,0,Paano nga ba nakatulong ang Philippine Red Cross sa paglaban ng bansa sa COVID-19
100,1,"Sa loob lamang ng higit isang taon, nakapagtala ang 14 molecular laboratories ng higit limang milyong testing. Higit isang milyon sa numerong ito ay mula sa Saliva RT - PCR Test na tanging Philippine Red Cross lamang ang mayroon sa bansa"
